Summary,Issue key,Issue id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project lead id,Project description,Priority,Resolution,Assignee,Assignee Id,Reporter,Reporter Id,Creator,Creator Id,Created,Updated,Last Viewed,Resolved,Affects versions,Affects versions,Fix versions,Fix versions,Due date,Votes,Description,Environment,Watchers,Watchers,Watchers Id,Watchers Id,Original estimate,Remaining Estimate,Time Spent,Work Ratio,Î£ Original Estimate,Î£ Remaining Estimate,Î£ Time Spent,Security Level,Custom field (Actual end),Custom field (Actual start),Custom field (Category),Custom field (Change reason),Custom field (Change risk),Custom field (Change type),Custom field (Compass),Custom field (Development),Custom field (Epic Color),Custom field (Epic Name),Custom field (Epic Status),Custom field (Impact),Custom field (Issue color),Custom field (Locked forms),Custom field (Open forms),Custom field (Rank),Custom field (Request Type),Custom field (Start date),Custom field (Story Points),Custom field (Story point estimate),Custom field (Submitted forms),Custom field (Target end),Custom field (Target start),Custom field (Team),Custom field (Total forms),Custom field ([CHART] Date of First Response),Comment,Status Category
MFT (28) - System asks customer to enter a dollar amount to transfer,CVGI-54,10067,Bug,Done,CVGI,A1,software,Maxwell Kepler,63cc9751a197e05f9daccacd,,Medium,Done,,,Ahmad Janjua,63cc977aa05386069cd9b691,Ahmad Janjua,63cc977aa05386069cd9b691,########,########,########,########,,,1,1.1,,0,"Initial state of the system: Menu of account types to transfer to is being displayed
 
 Steps to reproduce:Â 
 
 # Choose savings account
 
 The expected outcome: System displays a request for the customer to type a dollar amount
 
 The actual outcome: System displays a request for the customer to type a dollar amount
 
 Pass/Fail:
 
 Pass",,Ahmad Janjua,,63cc977aa05386069cd9b691,,,,,,,,,,,,,,,,,,,,,,,,,0|i000dz:,,,,,,,,,,,,Done
MFT (12) - System asks customer to choose an account to withdraw from,CVGI-53,10066,Bug,Done,CVGI,A1,software,Maxwell Kepler,63cc9751a197e05f9daccacd,,Medium,Done,,,Matthew Ho,63d3352bc7e5fd35203c312d,Matthew Ho,63d3352bc7e5fd35203c312d,########,########,########,########,,,1,1.1,,0,"Initial state of the system: 
 
 Menu of transaction types is being displayed
 
 Steps to reproduce:Â 
 
 Choose Withdrawal transaction
 
 The expected outcome:
 
 System displays a menu of account types
 
 The actual outcome:
 
 System displays a menu of account types
 
 Pass/Fail:
 
 Pass",,Matthew Ho,,63d3352bc7e5fd35203c312d,,,,,,,,,,,,,,,,,,,,,,,,,0|i000dr:,,,,,,,,,,,,Done
MFT (27) - System asks customer to choose an account to transfer to,CVGI-52,10065,Bug,Done,CVGI,A1,software,Maxwell Kepler,63cc9751a197e05f9daccacd,,Medium,Done,,,Ahmad Janjua,63cc977aa05386069cd9b691,Ahmad Janjua,63cc977aa05386069cd9b691,########,########,########,########,,,,,,0,"Initial state of the system: Menu of account types to transfer from is being displayed
 
 Steps to reproduce:Â 
 
 # Choose checking account
 
 The expected outcome: System displays a menu of account types specifying transfer to
 
 The actual outcome: System displays a menu of account types specifying transfer to
 
 Pass/Fail:
 
 Pass",,Ahmad Janjua,,63cc977aa05386069cd9b691,,,,,,,,,,,,,,,,,,,,,,,,,0|i000dj:,,,,,,,,,,,,Done
MFT (26) - System asks customer to choose an account to transfer from,CVGI-51,10064,Bug,Done,CVGI,A1,software,Maxwell Kepler,63cc9751a197e05f9daccacd,,Medium,Done,,,Ahmad Janjua,63cc977aa05386069cd9b691,Ahmad Janjua,63cc977aa05386069cd9b691,########,########,########,########,,,1,1.1,,0,"Initial state of the system: Menu of transaction types is being displayed
 
 Steps to reproduce:Â 
 
 # Choose Transfer transaction
 
 The expected outcome: System displays a menu of account types specifying transfer from
 
 The actual outcome: System displays a menu of account types specifying transfer from
 
 Pass/Fail:
 
 Pass",,Ahmad Janjua,,63cc977aa05386069cd9b691,,,,,,,,,,,,,,,,,,,,,,,,,0|i000db:,,,,,,,,,,,,Done
MFT (11) - System handles an invalid PIN properly,CVGI-50,10063,Bug,Done,CVGI,A1,software,Maxwell Kepler,63cc9751a197e05f9daccacd,,Medium,Done,,,Matthew Ho,63d3352bc7e5fd35203c312d,Matthew Ho,63d3352bc7e5fd35203c312d,########,########,########,########,,,1,1.1,,0,"Initial state of the system: A readable card has been entered
 
 Steps to reproduce:Â 
 
 Enter an incorrect PIN and then attempt a transaction
 
 The expected outcome:
 
 The Invalid PIN exception is performed
 
 The actual outcome:
 
 The Invalid PIN exception is performed
 
 Pass/Fail:
 
 Pass",,Matthew Ho,,63d3352bc7e5fd35203c312d,,,,,,,,,,,,,,,,,,,,,,,,,0|i000d3:,,,,,,,,,,,,Done
MFT (25) - A deposit transaction can be cancelled by the customer any time prior to inserting an envelope,CVGI-49,10062,Bug,Done,CVGI,A1,software,Maxwell Kepler,63cc9751a197e05f9daccacd,,Medium,Done,,,Ahmad Janjua,63cc977aa05386069cd9b691,Ahmad Janjua,63cc977aa05386069cd9b691,########,########,########,########,,,1,1.1,,0,"Initial state of the system: System is requesting customer to insert an envelope
 
 Steps to reproduce:Â 
 
 # Press ""Cancel"" key
 
 The expected outcome: System displays an appropriate message and offers customer the option of choosing to do another transaction or not.
 
 The actual outcome: System displays an appropriate message and offers customer the option of choosing to do another transaction or not.
 
 Pass/Fail:",,Ahmad Janjua,,63cc977aa05386069cd9b691,,,,,,,,,,,,,,,,,,,,,,,,,0|i000cv:,,,,,,,,,,,,Done
MFT (24) - A deposit transaction can be cancelled by the customer any time prior to inserting an envelope,CVGI-48,10061,Bug,Done,CVGI,A1,software,Maxwell Kepler,63cc9751a197e05f9daccacd,,Medium,Done,,,Ahmad Janjua,63cc977aa05386069cd9b691,Ahmad Janjua,63cc977aa05386069cd9b691,########,########,########,########,,,1,1.1,,0,"Initial state of the system: System is requesting customer to enter a dollar amount
 
 Steps to reproduce:Â 
 
 # Press ""Cancel"" key
 
 The expected outcome: System displays an appropriate message and offers customer the option of choosing to do another transaction or not.
 
 The actual outcome: System displays an appropriate message and offers customer the option of choosing to do another transaction or not.
 
 Pass/Fail:
 
 Pass",,Ahmad Janjua,,63cc977aa05386069cd9b691,,,,,,,,,,,,,,,,,,,,,,,,,0|i000cn:,,,,,,,,,,,,Done
MFT (23) - A deposit transaction can be cancelled by the customer any time prior to inserting an envelope,CVGI-47,10060,Bug,Done,CVGI,A1,software,Maxwell Kepler,63cc9751a197e05f9daccacd,,Medium,Done,,,Ahmad Janjua,63cc977aa05386069cd9b691,Ahmad Janjua,63cc977aa05386069cd9b691,########,########,########,########,,,1,1.1,,0,"Initial state of the system: System is displaying menu of account types
 
 Steps to reproduce:Â 
 
 # Press ""Cancel"" key
 
 The expected outcome: System displays an appropriate message and offers customer the option of choosing to do another transaction or not.
 
 The actual outcome: System displays an appropriate message and offers customer the option of choosing to do another transaction or not.
 
 Pass/Fail:
 
 Pass",,Ahmad Janjua,,63cc977aa05386069cd9b691,,,,,,,,,,,,,,,,,,,,,,,,,0|i000cf:,,,,,,,,,,,,Done
MFT (22) - System performs a legitimate deposit transaction properly,CVGI-46,10059,Bug,In Progress,CVGI,A1,software,Maxwell Kepler,63cc9751a197e05f9daccacd,,Medium,,,,Ahmad Janjua,63cc977aa05386069cd9b691,Ahmad Janjua,63cc977aa05386069cd9b691,########,########,########,,1,1.1,,,,0,"Initial state of the system: System is requesting that customer insert an envelope
 
 Steps to reproduce:Â 
 
 # Insert an envelope
 
 The expected outcome: System accepts envelope; System prints a correct receipt showing amount and correct updated balance; System records transaction correctly in the log (showing message to the bank, approval back, and acceptance of the envelope)
 
 The actual outcome: System accepts envelope; System prints a correct receipt showing amount and correct updated balance; System records transaction correctly in the log (showing message to the bank, approval back, and acceptance of the envelope)
 
 Pass/Fail:
 
 Fail",,Ahmad Janjua,,63cc977aa05386069cd9b691,,,,,,,,,,,,,,,,,,,,,,,,,0|i000c7:,,,,,,,,,,,,In Progress
MFT (21) - System asks customer to insert an envelope,CVGI-44,10057,Bug,Done,CVGI,A1,software,Maxwell Kepler,63cc9751a197e05f9daccacd,,Medium,Done,,,Ahmad Janjua,63cc977aa05386069cd9b691,Ahmad Janjua,63cc977aa05386069cd9b691,########,########,########,########,,,1,1.1,,0,"Initial state of the system: System is displaying a request for the customer to type a dollar amount
 
 Steps to reproduce:Â 
 
 # Enter a legitimate dollar amount
 
 The expected outcome: System requests that customer insert an envelope
 
 The actual outcome: System requests that customer insert an envelope
 
 Pass/Fail:
 
 Pass",,Ahmad Janjua,,63cc977aa05386069cd9b691,,,,,,,,,,,,,,,,,,,,,,,,,0|i000br:,,,,,,,,,,,,Done
