Summary,Issue key,Issue id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project lead id,Project description,Priority,Resolution,Assignee,Assignee Id,Reporter,Reporter Id,Creator,Creator Id,Created,Updated,Last Viewed,Resolved,Affects versions,Affects versions,Fix versions,Fix versions,Due date,Votes,Description,Environment,Watchers,Watchers,Watchers Id,Watchers Id,Original estimate,Remaining Estimate,Time Spent,Work Ratio,Î£ Original Estimate,Î£ Remaining Estimate,Î£ Time Spent,Security Level,Custom field (Actual end),Custom field (Actual start),Custom field (Category),Custom field (Change reason),Custom field (Change risk),Custom field (Change type),Custom field (Compass),Custom field (Development),Custom field (Epic Color),Custom field (Epic Name),Custom field (Epic Status),Custom field (Impact),Custom field (Issue color),Custom field (Locked forms),Custom field (Open forms),Custom field (Rank),Custom field (Request Type),Custom field (Start date),Custom field (Story Points),Custom field (Story point estimate),Custom field (Submitted forms),Custom field (Target end),Custom field (Target start),Custom field (Team),Custom field (Total forms),Custom field ([CHART] Date of First Response),Comment,Status Category
MFT (5) - System reads a customer's ATM card,CVGI-23,10036,Bug,Done,CVGI,A1,software,Maxwell Kepler,63cc9751a197e05f9daccacd,,Medium,Done,,,Christopher Luk,63d2fa8ece7f4b4e14fa6145,Christopher Luk,63d2fa8ece7f4b4e14fa6145,########,########,########,########,,,1,1.1,,0,"Initial state of the system:Â 
 
 System is on and not servicing a customer
 
 Steps to reproduce:Â 
 
 Insert a readable card
 
 The expected outcome:
 
 Card is accepted; System asks for entry of PIN
 
 The actual outcome:
 
 The card is accepted and the system asks the user to input the PIN with the message ""please enter your PIN then press ENTER""
 
 Pass/Fail:
 
 Pass",,Christopher Luk,,63d2fa8ece7f4b4e14fa6145,,,,,,,,,,,,,,,,,,,,,,,,,0|i0007b:,,,,,,,,,,,,Done
MFT (35) - An inquiry transaction can be cancelled by the customer any time prior to choosing an account,CVGI-22,10035,Bug,Done,CVGI,A1,software,Maxwell Kepler,63cc9751a197e05f9daccacd,,Medium,Done,,,Maxwell Kepler,63cc9751a197e05f9daccacd,Maxwell Kepler,63cc9751a197e05f9daccacd,########,########,########,########,,,1,1.1,,0,"Initial state of the system:Â System is displaying menu of account types.
 
 Steps to reproduce:Â Press ""Cancel"" key.
 
 The expected outcome: System displays an appropriate message and offers customer the option of choosing to do another transaction or not.
 
 The actual outcome: â€œLast transaction was cancelledâ€.
 
 Pass/Fail: Pass",,Maxwell Kepler,,63cc9751a197e05f9daccacd,,,,,,,,,,,,,,,,,,,,,,,,,0|i00073:,,,,,,,,,,,,Done
"MFT (4) - System is shut down when the switch is turned â€œoff""",CVGI-21,10034,Bug,Done,CVGI,A1,software,Maxwell Kepler,63cc9751a197e05f9daccacd,,Medium,Done,,,Christopher Luk,63d2fa8ece7f4b4e14fa6145,Christopher Luk,63d2fa8ece7f4b4e14fa6145,########,########,########,########,,,1,1.1,,0,"Initial state of the system:Â 
 
 System is on and not servicing a customer
 
 Steps to reproduce:Â 
 
 Activate the ""off"" switch
 
 The expected outcome:
 
 System is off
 
 The actual outcome:
 
 System turns off with the message of ""Not currently available""
 
 Pass/Fail:
 
 Pass",,Christopher Luk,,63d2fa8ece7f4b4e14fa6145,,,,,,,,,,,,,,,,,,,,,,,,,0|i0006v:,,,,,,,,,,,,Done
MFT (34) - System performs a legitimate inquiry transaction properly,CVGI-20,10033,Bug,In Progress,CVGI,A1,software,Maxwell Kepler,63cc9751a197e05f9daccacd,,Medium,,,,Maxwell Kepler,63cc9751a197e05f9daccacd,Maxwell Kepler,63cc9751a197e05f9daccacd,########,########,########,,1,1.1,,,,0,"Initial state of the system:Â System is displaying menu of account types
 
 Steps to reproduce:Â Choose checking account
 
 The expected outcome: System prints a correct receipt showing correct balance; System records transaction correctly in the log (showing both message to the bank and approval back)
 
 The actual outcome: System prints an incorrect receipt (card number 1 value higher than it is), shows correct balance; System records transaction correctly in the log (showing both message to the bank and approval back).
 
 Pass/Fail:",,Maxwell Kepler,,63cc9751a197e05f9daccacd,,,,,,,,,,,,,,,,,,,,,,,,,0|i0006n:,,,,,,,,,,,26/Jan/23 5:59 PM;63cc9751a197e05f9daccacd;Defect still exists in version 1.1,In Progress
MFT (3) - Connection to the bank is established,CVGI-19,10032,Bug,In Progress,CVGI,A1,software,Maxwell Kepler,63cc9751a197e05f9daccacd,,Medium,,,,Christopher Luk,63d2fa8ece7f4b4e14fa6145,Christopher Luk,63d2fa8ece7f4b4e14fa6145,########,########,########,,1,1.1,,,,0,"Initial state of the system:Â 
 
 System has just been turned on
 
 Steps to reproduce:Â 
 
 Perform a legitimate inquiry transaction
 
 The expected outcome:
 
 System output should demonstrate that a connection has been established to the Bank
 
 The actual outcome:
 
 System does not have a notification stating that there is a connection to the bank. This was stated because there was nothing within the log stating that there was a connection with the bank as well as how there was no physical message
 
 Pass/Fail:
 
 Fail",,Christopher Luk,Maxwell Kepler,63d2fa8ece7f4b4e14fa6145,63cc9751a197e05f9daccacd,,,,,,,,,,,,,,,,,,,,,,,,0|i0006f:,,,,,,,,,,06:06.6,26/Jan/23 6:06 PM;63cc9751a197e05f9daccacd;Defect still exists in version 1.1,In Progress
MFT (33) - System asks customer to choose an account to inquire about,CVGI-18,10031,Bug,Done,CVGI,A1,software,Maxwell Kepler,63cc9751a197e05f9daccacd,,Medium,Done,,,Maxwell Kepler,63cc9751a197e05f9daccacd,Maxwell Kepler,63cc9751a197e05f9daccacd,########,########,########,########,1,,1.1,,,0,"Initial state of the system:Â Menu of transaction types is being displayed
 
 Steps to reproduce:Â Choose Inquiry transaction
 
 The expected outcome: System displays a menu of account types
 
 The actual outcome: System doesn't display the option to inquire from the Saving account
 
 Pass/Fail: Fail",,Maxwell Kepler,,63cc9751a197e05f9daccacd,,,,,,,,,,,,,,,,,,,,,,,,,0|i00067:,,,,,,,,,,,,Done
MFT (2) - System accepts initial cash amount,CVGI-17,10030,Bug,Done,CVGI,A1,software,Maxwell Kepler,63cc9751a197e05f9daccacd,,Medium,Done,,,Christopher Luk,63d2fa8ece7f4b4e14fa6145,Christopher Luk,63d2fa8ece7f4b4e14fa6145,########,########,########,########,,,1,1.1,,0,"Initial state of the system:Â 
 
 System is requesting cash amount
 
 Steps to reproduce:Â 
 
 Enter a legitimate amount
 
 The expected outcome:
 
 System is on
 
 The actual outcome:
 
 System turns on
 
 Pass/Fail:
 
 Pass",,Christopher Luk,,63d2fa8ece7f4b4e14fa6145,,,,,,,,,,,,,,,,,,,,,,,,,0|i0005z:,,,,,,,,,,,,Done
MFT (32) - A transfer transaction can be cancelled by the customer any time prior to entering dollar amount,CVGI-16,10029,Bug,Done,CVGI,A1,software,Maxwell Kepler,63cc9751a197e05f9daccacd,,Medium,Done,,,Maxwell Kepler,63cc9751a197e05f9daccacd,Maxwell Kepler,63cc9751a197e05f9daccacd,########,########,########,########,,,1,1.1,,0,"Initial state of the system:Â System is requesting customer to enter a dollar amount
 
 Steps to reproduce:Â Press ""Cancel"" key
 
 The expected outcome: System displays an appropriate message and offers customer the option of choosing to do another transaction or not.
 
 The actual outcome: â€œLast transaction was cancelledâ€
 
 Pass/Fail: Pass",,Maxwell Kepler,,63cc9751a197e05f9daccacd,,,,,,,,,,,,,,,,,,,,,,,,,0|i0005r:,,,,,,,,,,,,Done
"MFT (1) - System is started when the switch is turned ""on""",CVGI-15,10028,Bug,Done,CVGI,A1,software,Maxwell Kepler,63cc9751a197e05f9daccacd,,Medium,Done,,,Christopher Luk,63d2fa8ece7f4b4e14fa6145,Christopher Luk,63d2fa8ece7f4b4e14fa6145,########,########,########,########,,,1,1.1,,0,"Initial state of the system: 
 
 System is off
 
 Steps to reproduce: 
 
 Activate the ""on"" switch
 
 The expected outcome:
 
 System requests initial cash amount
 
 The actual outcome:
 
 System requests the initial amount fo cash in increments of $20 bills
 
 Pass/Fail:
 
 Pass",,Christopher Luk,,63d2fa8ece7f4b4e14fa6145,,,,,,,,,,,,,,,,,,,,,,,,,0|i0005j:,,,,,,,,,,,,Done
MFT (31) - A transfer transaction can be cancelled by the customer any time prior to entering dollar amount,CVGI-14,10027,Bug,Done,CVGI,A1,software,Maxwell Kepler,63cc9751a197e05f9daccacd,,Medium,Done,,,Maxwell Kepler,63cc9751a197e05f9daccacd,Maxwell Kepler,63cc9751a197e05f9daccacd,########,########,########,########,,,1,1.1,,0,"Initial state of the system: System is displaying menu of account types specifying transfer to
 
 Steps to reproduce: Press ""Cancel"" key
 
 The expected outcome: System displays an appropriate message and offers customer the option of choosing to do another transaction or not.
 
 The actual outcome: â€œLast transaction was cancelledâ€
 
 Pass/Fail: Pass",,Maxwell Kepler,,63cc9751a197e05f9daccacd,,,,,,,,,,,,,,,,,,,,,,,,,0|i0005b:,,,,,,,,,,,,Done
